dean	n.	院长；主持牧师
beloved	adj.	心爱的
website	n.	网站
retrieve	v.	取回；挽回；弥补
overseas	adj.	海外的；国外的
smoking	n.	抽烟；冒烟
bizarre	adj.	奇异的
nominate	v.	提名；任命；命名
devise	v.	设计；发明；图谋
anchor	n.	锚
bargain	n.	交易；买卖协定；特价商品
scrutiny	n.	细看；仔细检查；监视
suppress	v.	镇压；使止住；禁止
extract	n.	榨出物；精汁；摘录
intensive	adj.	加强的；内涵的；集中的
betray	v.	出卖；背叛；辜负
bureaucracy	n.	官僚；官吏
clever	adj.	聪明的；精明的
challenging	adj.	挑战的；引起争论的
skiing	n.	滑雪运动；滑雪术
delicious	adj.	美味的
beneficial	adj.	有益的；受益的
awkward	adj.	笨拙的；棘手的
complication	n.	复杂化；复杂情况
authentic	adj.	可靠的；可信的；真正的
concession	n.	特许；让步；认可
dome	n.	圆顶
inadequate	adj.	不充分的；不适当的
thief	n.	小偷；贼
editorial	n.	社论；评论
locker	n.	抽屉；小柜；上锁人
haunt	n.	常到的地方；生息地
crude	adj.	天然的；未成熟的；粗糙的
evoke	v.	唤起；引起；召
pal	n.	朋友；伙伴；同志
vein	n.	血管；静脉；纹理
surrender	v.	交出；放弃；使投降
scar	n.	疤痕；伤痕；悬崖
surge	n.	巨涌；汹涌；澎湃
commentary	n.	注释；评论；说明
suspension	n.	悬挂；暂停；中止
imperial	adj.	帝王的；宗主国的；至尊的
compensate	v.	偿还；补偿；付报酬
hover	v.	盘旋；翱翔；徘徊
making	n.	制造；制造业；制作
fossil	n.	化石；古物
viable	adj.	能养活的；能生长发育的
clarify	v.	澄清；阐明
sketch	n.	素描；草图；小品
chat	n.	闲谈
pupil	n.	学生；门生；未成年人
strive	v.	努力；奋斗；斗争
neglect	n.	疏忽；忽略；漏做
ward	n.	病房；守卫；保卫
bang	n.	重击；突然巨响；刘海
tilt	n.	倾斜；倾向；船篷
medieval	adj.	中古的；中世纪的
monetary	adj.	货币的；金钱的
knot	n.	结；群；难题
antibiotic	n.	抗生素
accumulate	v.	积聚；堆积
prosecute	v.	告发；起诉；彻底进行
intervene	v.	插入；调停；干涉
glow	n.	赤热；光辉；热情
embody	v.	具体表达；使具体化
dull	adj.	钝的；无趣的；呆滞的
raid	n.	袭击；突袭；搜捕
crown	n.	王冠；王权；顶点
fake	n.	假货；欺骗；诡计
creep	n.	爬；徐行；蠕动
hydrogen	n.	氢
farming	n.	农业；耕作
organizer	n.	组织者；编制者；创立者
remedy	n.	药物；治疗法；治疗
inability	n.	无能；无力
smash	n.	打碎；粉碎；打碎时哗啦声
manuscript	n.	手稿；原稿；底稿
morality	n.	道德；教训；品行
disagreement	n.	不合；争论；不一致
fancy	n.	想象力；幻想；喜好
mandatory	adj.	命令的；托管的
advertise	v.	做广告；通知；公布
junk	n.	垃圾；乌七八糟的东西；舢板
mature	adj.	成熟的；到期的；充分考虑的
manufacture	n.	产品；制造
affection	n.	影响；病；喜爱
warming	n.	暖和；加温；暖热
clutch	n.	抓紧；掌握；离合器
breakdown	n.	崩溃；故障
conceal	v.	隐藏；掩盖；隐瞒
curl	n.	拳曲；鬈发
kidney	n.	肾；个性
